Date,Price,Open,High,Low,Vol.,Change
15-Jan-19,152.8,150.27,152.89,150.06,16.82M,1.87%
14-Jan-19,150,150.85,151.24,149.22,32.44M,-1.50%
11-Jan-19,152.29,152.88,153.7,151.51,27.02M,-0.98%
10-Jan-19,153.8,152.5,153.97,150.86,35.78M,0.32%
9-Jan-19,153.31,151.29,154.53,149.63,45.10M,1.70%
8-Jan-19,150.75,149.56,151.82,148.52,41.03M,1.91%
7-Jan-19,147.93,148.7,148.83,145.9,54.78M,-0.22%
4-Jan-19,148.26,144.53,148.55,143.8,58.61M,4.27%
3-Jan-19,142.19,143.98,145.72,142,91.31M,-9.96%
2-Jan-19,157.92,154.89,158.85,154.23,37.04M,0.11%
31-Dec-18,157.74,158.53,159.36,156.48,35.00M,0.97%
28-Dec-18,156.23,157.5,158.52,154.55,42.29M,0.05%
27-Dec-18,156.15,155.84,156.77,150.07,53.12M,-0.65%
26-Dec-18,157.17,148.3,157.23,146.72,58.58M,7.04%
24-Dec-18,146.83,148.15,151.55,146.59,37.17M,-2.59%
21-Dec-18,150.73,156.86,158.16,149.63,95.74M,-3.89%
20-Dec-18,156.83,160.4,162.11,155.3,64.77M,-2.52%
19-Dec-18,160.89,166,167.45,159.09,49.05M,-3.12%
18-Dec-18,166.07,165.38,167.53,164.39,33.84M,1.30%
17-Dec-18,163.94,165.45,168.35,162.73,44.29M,-0.93%
14-Dec-18,165.48,169,169.08,165.28,40.70M,-3.20%
13-Dec-18,170.95,170.49,172.57,169.55,31.90M,1.09%
12-Dec-18,169.1,170.4,171.92,169.02,35.63M,0.28%
11-Dec-18,168.63,171.66,171.79,167,47.28M,-0.57%
10-Dec-18,169.6,165,170.09,163.33,62.03M,0.66%
7-Dec-18,168.49,173.49,174.49,168.3,42.28M,-3.57%
6-Dec-18,174.72,171.76,174.78,170.42,43.10M,-1.11%
4-Dec-18,176.69,180.95,182.39,176.27,41.34M,-4.40%
3-Dec-18,184.82,184.46,184.94,181.21,40.80M,3.49%
30-Nov-18,178.58,180.29,180.33,177.03,39.53M,-0.54%
29-Nov-18,179.55,182.66,182.8,177.7,41.77M,-0.77%
28-Nov-18,180.94,176.73,181.29,174.93,46.06M,3.85%
27-Nov-18,174.24,171.51,174.77,170.88,41.39M,-0.22%
26-Nov-18,174.62,174.24,174.95,170.26,45.00M,1.35%
23-Nov-18,172.29,174.94,176.59,172.1,23.62M,-2.54%
21-Nov-18,176.78,179.73,180.27,176.55,31.12M,-0.11%
20-Nov-18,176.98,178.37,181.47,175.51,67.83M,-4.78%
19-Nov-18,185.86,190,190.7,184.99,41.92M,-3.96%
16-Nov-18,193.53,190.5,194.97,189.46,36.93M,1.11%
15-Nov-18,191.41,188.39,191.97,186.9,46.48M,2.47%
14-Nov-18,186.8,193.9,194.48,185.93,60.80M,-2.82%
13-Nov-18,192.23,191.63,197.18,191.45,46.88M,-1.00%
12-Nov-18,194.17,199,199.85,193.79,51.14M,-5.04%
9-Nov-18,204.47,205.55,206.01,202.25,34.37M,-1.93%
8-Nov-18,208.49,209.98,210.12,206.75,25.36M,-0.70%
7-Nov-18,209.95,205.97,210.06,204.13,33.42M,3.03%
6-Nov-18,203.77,201.92,204.72,201.69,31.88M,1.08%
5-Nov-18,201.59,204.3,204.39,198.17,66.16M,-2.84%
2-Nov-18,207.48,209.55,213.65,205.43,91.33M,-6.63%
1-Nov-18,222.22,219.05,222.36,216.81,58.32M,1.54%
31-Oct-18,218.86,216.88,220.45,216.62,38.36M,2.61%
30-Oct-18,213.3,211.15,215.18,209.27,36.66M,0.50%
29-Oct-18,212.24,219.19,219.69,206.09,45.94M,-1.88%
26-Oct-18,216.3,215.9,220.19,212.67,47.26M,-1.59%
25-Oct-18,219.8,217.71,221.38,216.75,29.86M,2.19%
24-Oct-18,215.09,222.6,224.23,214.54,40.93M,-3.43%
23-Oct-18,222.73,215.83,223.25,214.7,38.77M,0.94%
22-Oct-18,220.65,219.79,223.36,218.94,28.79M,0.61%
19-Oct-18,219.31,218.06,221.26,217.43,33.08M,1.52%
18-Oct-18,216.02,217.86,219.74,213,32.58M,-2.34%
17-Oct-18,221.19,222.3,222.64,219.34,22.89M,-0.43%
16-Oct-18,222.15,218.93,222.99,216.76,29.18M,2.20%
15-Oct-18,217.36,221.16,221.83,217.27,30.79M,-2.14%
12-Oct-18,222.11,220.42,222.88,216.84,40.34M,3.57%
11-Oct-18,214.45,214.52,219.5,212.32,53.12M,-0.88%
10-Oct-18,216.36,225.46,226.35,216.05,41.99M,-4.63%
9-Oct-18,226.87,223.64,227.27,222.25,26.89M,1.39%
8-Oct-18,223.77,222.21,224.8,220.2,29.66M,-0.23%
5-Oct-18,224.29,227.96,228.41,220.58,33.58M,-1.62%
4-Oct-18,227.99,230.78,232.35,226.73,32.04M,-1.76%
3-Oct-18,232.07,230.05,233.47,229.78,28.65M,1.22%
2-Oct-18,229.28,227.25,230,226.63,24.79M,0.89%
1-Oct-18,227.26,227.95,229.42,226.35,23.60M,0.67%
28-Sep-18,225.74,224.79,225.84,224.02,22.93M,0.35%
27-Sep-18,224.95,223.82,226.44,223.54,30.18M,2.06%
26-Sep-18,220.42,221,223.75,219.76,23.98M,-0.80%
25-Sep-18,222.19,219.75,222.82,219.7,24.55M,0.63%
24-Sep-18,220.79,216.82,221.26,216.63,27.69M,1.44%
21-Sep-18,217.66,220.78,221.36,217.29,96.25M,-1.08%
20-Sep-18,220.03,220.24,222.28,219.15,26.61M,0.76%
19-Sep-18,218.37,218.5,219.62,215.3,27.12M,0.06%
18-Sep-18,218.24,217.79,221.85,217.12,31.57M,0.17%
17-Sep-18,217.88,222.15,222.95,217.27,37.20M,-2.66%
14-Sep-18,223.84,225.75,226.84,222.52,32.00M,-1.14%
13-Sep-18,226.41,223.52,228.35,222.57,41.71M,2.42%
12-Sep-18,221.07,224.94,225,219.84,49.28M,-1.24%
11-Sep-18,223.85,218.01,224.3,216.56,35.75M,2.53%
10-Sep-18,218.33,220.95,221.85,216.47,39.52M,-1.34%
7-Sep-18,221.3,221.85,225.37,220.71,37.62M,-0.81%
6-Sep-18,223.1,226.23,227.35,221.3,34.29M,-1.66%
5-Sep-18,226.87,228.99,229.67,225.1,33.33M,-0.65%
4-Sep-18,228.36,228.41,229.18,226.63,27.39M,0.32%
31-Aug-18,227.63,226.51,228.87,226,43.34M,1.16%
30-Aug-18,225.03,223.25,228.26,222.4,48.79M,0.92%
29-Aug-18,222.98,220.15,223.49,219.41,27.25M,1.49%
28-Aug-18,219.7,219.01,220.54,218.92,22.78M,0.81%
27-Aug-18,217.94,217.15,218.74,216.33,20.53M,0.82%
24-Aug-18,216.16,216.6,216.9,215.11,18.48M,0.31%
23-Aug-18,215.49,214.65,217.05,214.6,18.88M,0.20%
22-Aug-18,215.05,214.1,216.36,213.84,19.02M,0.00%
21-Aug-18,215.04,216.8,217.19,214.03,26.16M,-0.19%
20-Aug-18,215.46,218.1,219.18,215.11,30.29M,-0.97%
17-Aug-18,217.58,213.44,217.95,213.16,35.43M,2.00%
16-Aug-18,213.32,211.75,213.81,211.47,28.50M,1.46%
15-Aug-18,210.24,209.22,210.74,208.33,28.81M,0.23%
14-Aug-18,209.75,210.16,210.56,208.26,20.75M,0.42%
13-Aug-18,208.87,207.7,210.95,207.7,25.89M,0.65%
